<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX.SBER:SMAL;60;20220415;180000;129.0300000;131.8800000;129.0300000;131.8800000;2
MOEX.SBER:SMAL;60;20220418;110000;132.0000000;132.0000000;128.0000000;131.9700000;8
MOEX.SBER:SMAL;60;20220418;130000;129.0000000;129.0000000;127.0000000;127.0000000;3
MOEX.SBER:SMAL;60;20220418;140000;131.9700000;131.9700000;126.2800000;126.2800000;19
MOEX.SBER:SMAL;60;20220418;150000;126.2500000;126.2500000;125.9300000;125.9300000;5
MOEX.SBER:SMAL;60;20220418;180000;125.7900000;125.7900000;120.0100000;120.0100000;15
MOEX.SBER:SMAL;60;20220418;190000;124.0100000;124.0100000;124.0100000;124.0100000;2
MOEX.SBER:SMAL;60;20220419;110000;124.9700000;124.9700000;124.9700000;124.9700000;7
MOEX.SBER:SMAL;60;20220419;120000;119.2100000;121.5000000;119.2100000;120.5000000;13
MOEX.SBER:SMAL;60;20220419;130000;121.5100000;121.6000000;120.3100000;120.3100000;4
MOEX.SBER:SMAL;60;20220419;140000;120.3100000;120.3100000;118.0100000;118.0100000;9
MOEX.SBER:SMAL;60;20220419;150000;118.0000000;118.0000000;117.5100000;117.5100000;11
MOEX.SBER:SMAL;60;20220419;160000;119.9700000;119.9700000;119.9600000;119.9600000;2
MOEX.SBER:SMAL;60;20220419;170000;119.9600000;119.9600000;119.9600000;119.9600000;9
MOEX.SBER:SMAL;60;20220419;180000;119.9600000;120.8800000;119.9600000;120.8800000;7
MOEX.SBER:SMAL;60;20220420;110000;115.0100000;117.0200000;115.0100000;117.0200000;17
MOEX.SBER:SMAL;60;20220420;130000;122.9500000;124.9400000;119.0100000;124.9400000;24
MOEX.SBER:SMAL;60;20220420;140000;121.0000000;121.0000000;120.0300000;120.0300000;2
MOEX.SBER:SMAL;60;20220420;150000;122.0000000;122.0000000;120.5200000;120.5200000;9
MOEX.SBER:SMAL;60;20220420;160000;123.2400000;123.3700000;123.2400000;123.3700000;2
MOEX.SBER:SMAL;60;20220420;180000;124.9400000;124.9400000;120.0400000;120.0400000;6
MOEX.SBER:SMAL;60;20220421;110000;121.0000000;121.0000000;119.0000000;119.0000000;3
MOEX.SBER:SMAL;60;20220421;120000;119.6300000;119.6300000;119.6300000;119.6300000;1
MOEX.SBER:SMAL;60;20220421;130000;118.0100000;122.3700000;118.0100000;122.3700000;6
MOEX.SBER:SMAL;60;20220421;140000;122.3700000;122.3700000;122.3700000;122.3700000;1
MOEX.SBER:SMAL;60;20220421;180000;122.2900000;122.2900000;122.2900000;122.2900000;4
MOEX.SBER:SMAL;60;20220422;110000;124.8600000;124.8600000;120.0000000;123.9700000;5
MOEX.SBER:SMAL;60;20220422;120000;117.0100000;123.9700000;117.0100000;123.9700000;3
MOEX.SBER:SMAL;60;20220422;130000;118.9000000;118.9000000;118.4600000;118.4600000;9
MOEX.SBER:SMAL;60;20220422;150000;117.0000000;117.0000000;117.0000000;117.0000000;1
MOEX.SBER:SMAL;60;20220422;170000;116.0000000;116.0000000;116.0000000;116.0000000;4
MOEX.SBER:SMAL;60;20220425;110000;116.9900000;118.9700000;116.0000000;118.9700000;4
MOEX.SBER:SMAL;60;20220425;120000;117.7700000;117.7700000;113.0000000;114.2000000;22
MOEX.SBER:SMAL;60;20220425;130000;112.0000000;116.2800000;112.0000000;116.2800000;6
MOEX.SBER:SMAL;60;20220425;160000;112.1000000;112.1000000;112.1000000;112.1000000;7
MOEX.SBER:SMAL;60;20220425;180000;114.0000000;114.0000000;114.0000000;114.0000000;1
MOEX.SBER:SMAL;60;20220425;190000;115.9700000;115.9700000;115.9700000;115.9700000;8
MOEX.SBER:SMAL;60;20220426;110000;113.0000000;113.0000000;112.0100000;112.0100000;10
MOEX.SBER:SMAL;60;20220426;120000;115.3500000;115.3500000;112.0700000;112.0700000;7
MOEX.SBER:SMAL;60;20220426;150000;118.9600000;120.9700000;118.9600000;120.9700000;2
MOEX.SBER:SMAL;60;20220426;170000;116.2700000;116.2700000;116.2700000;116.2700000;1
MOEX.SBER:SMAL;60;20220426;180000;120.7800000;123.1000000;120.7800000;123.1000000;25
MOEX.SBER:SMAL;60;20220426;190000;122.4900000;122.4900000;122.4900000;122.4900000;1
MOEX.SBER:SMAL;60;20220427;110000;121.0000000;129.9700000;121.0000000;129.8400000;17
MOEX.SBER:SMAL;60;20220427;120000;129.7600000;129.7600000;125.0800000;125.0800000;2
MOEX.SBER:SMAL;60;20220427;160000;129.6000000;129.6000000;129.6000000;129.6000000;1
MOEX.SBER:SMAL;60;20220427;170000;127.5200000;135.3100000;127.5200000;135.3100000;5
MOEX.SBER:SMAL;60;20220427;190000;131.0000000;131.0000000;130.8500000;130.8500000;2
MOEX.SBER:SMAL;60;20220428;110000;132.0500000;132.0500000;131.0000000;131.0000000;2
MOEX.SBER:SMAL;60;20220428;120000;130.0100000;130.0100000;130.0100000;130.0100000;9
MOEX.SBER:SMAL;60;20220428;140000;133.2000000;133.3300000;131.7800000;131.7800000;14
MOEX.SBER:SMAL;60;20220428;150000;131.5600000;131.5600000;127.0800000;127.0800000;49
MOEX.SBER:SMAL;60;20220428;160000;127.0700000;127.0700000;125.9700000;126.0000000;22
MOEX.SBER:SMAL;60;20220428;180000;126.0000000;126.0000000;125.7000000;125.7000000;2
MOEX.SBER:SMAL;60;20220428;190000;127.0700000;127.0700000;123.8000000;124.0000000;12
MOEX.SBER:SMAL;60;20220429;110000;125.0000000;125.0000000;124.1100000;124.1100000;2
MOEX.SBER:SMAL;60;20220429;130000;126.9800000;127.5000000;126.9800000;127.5000000;11
MOEX.SBER:SMAL;60;20220429;170000;126.0800000;130.0000000;126.0800000;130.0000000;2
MOEX.SBER:SMAL;60;20220429;180000;128.0000000;128.0000000;128.0000000;128.0000000;4
MOEX.SBER:SMAL;60;20220429;190000;128.5600000;128.5600000;128.5600000;128.5600000;4
MOEX.SBER:SMAL;60;20220504;110000;128.0100000;128.0100000;125.8100000;126.2100000;12
MOEX.SBER:SMAL;60;20220504;120000;125.5000000;125.5000000;124.1000000;124.1000000;4
MOEX.SBER:SMAL;60;20220504;130000;124.2400000;124.2400000;123.4800000;123.4800000;5
MOEX.SBER:SMAL;60;20220504;140000;126.0000000;126.0000000;126.0000000;126.0000000;1
MOEX.SBER:SMAL;60;20220504;150000;126.0000000;126.0000000;126.0000000;126.0000000;9
MOEX.SBER:SMAL;60;20220504;160000;125.4200000;125.4200000;125.4200000;125.4200000;1
